id,lossyear,year
39,660517.9701,2011
39,292542.2364,2012
39,315146.2479,2013
39,267363.432,2014
39,311594.2676,2015
39,574908.2271,2016
39,1226179.471,2017
39,236856.6179,2018
39,705283.0714,2019
40,41812.03022,2001
40,52738.32874,2002
40,30871.56563,2003
40,88470.89669,2004
40,42011.16376,2005
40,72587.86369,2006
40,92769.43404,2007
40,43549.49147,2008
40,115670.2999,2009
40,65255.15386,2010
40,140335.7161,2011
40,22370.70963,2012
40,100616.4349,2013
40,11620.19476,2014
40,31768.54042,2015
40,112211.771,2016
40,227225.2925,2017
40,362662.2578,2018
40,515504.0222,2019
41,892.8689575,2001
41,0,2002
41,3571.60614,2003
41,0,2004
41,2678.615662,2005
41,0,2006
41,1785.887268,2007
41,1785.801514,2008
41,2678.748535,2009
41,1785.872498,2010
41,4464.840088,2011
41,5357.426453,2012
41,3571.658997,2013
41,5357.435364,2014
41,892.9873047,2015
41,44644.47083,2016
41,0,2017
41,0,2018
41,0,2019
42,331502.6034,2001
42,137034.7204,2002
42,379870.5415,2003
42,496142.9833,2004
42,542340.6056,2005
42,592744.9146,2006
42,485046.3858,2007
42,338920.7641,2008
42,545309.2392,2009
42,550753.14,2010
42,593675.2627,2011
42,212147.053,2012
42,1940102.283,2013
42,1754853.811,2014
42,1722551.865,2015
42,2046539.382,2016
42,2189988.477,2017
42,3089387.734,2018
42,2684429.897,2019
43,0,2001
43,5357.435669,2002
43,4464.376404,2003
43,0,2004
43,1785.763184,2005
43,0,2006
43,892.8361206,2007
43,2678.835388,2008
43,9412.006033,2009
43,3571.644653,2010
43,5357.236084,2011
43,10715.10693,2012
43,8036.278381,2013
43,23214.89191,2014
43,0,2015
43,3571.455139,2016
43,3571.826294,2017
43,892.8625488,2018
43,0,2019
44,43998.23949,2001
44,39392.5307,2002
44,35216.23342,2003
44,23169.85669,2004
44,137202.4371,2005
44,3327.01134,2006
44,26734.87714,2007
44,32217.69426,2008
44,26734.88348,2009
44,238199.9225,2010
44,18714.38879,2011
44,75415.36893,2012
44,61808.01027,2013
44,76988.83543,2014
44,50348.71417,2015
44,188555.139,2016
44,248801.14,2017
44,206499.5564,2018
44,158334.2503,2019
45,6231.336792,2001
45,6231.323181,2002
45,27594.0882,2003
45,32058.87906,2004
45,13352.50305,2005
45,47177.19745,2006
45,8901.657776,2007
45,0,2008
45,890.1408081,2009
45,0,2010
45,0,2011
45,23883.44829,2012
45,14242.61267,2013
45,21392.48799,2014
45,24923.42914,2015
45,8901.9021,2016
45,3560.646423,2017
45,10681.88666,2018
45,0,2019
46,21163.98689,2001
46,3575.83075,2002
46,6257.690186,2003
46,8939.564941,2004
46,37626.78143,2005
46,67046.9184,2006
46,55425.41132,2007
46,33370.83093,2008
46,52831.11447,2009
46,28676.77003,2010
46,29114.9837,2011
46,15088.62106,2012
46,162836.7339,2013
46,189101.4111,2014
46,85360.55774,2015
46,132004.0721,2016
46,270518.1521,2017
46,125248.6783,2018
46,280681.1336,2019
47,0,2001
47,0,2002
47,0,2003
47,0,2004
47,0,2005
47,0,2006
47,0,2007
47,0,2008
47,1132.301341,2009
47,1679.171636,2010
47,0,2011
47,2488.959805,2012
47,1290.052665,2013
47,7074.255261,2014
47,736.171358,2015
47,3312.771162,2016
47,8739.405302,2017
47,0,2018
47,34407.22422,2019
48,0,2001
48,0,2002
48,893.9575195,2003
48,0,2004
48,5363.764221,2005
48,0,2006
48,0,2007
48,1339.183696,2008
48,0,2009
48,0,2010
48,21455.06464,2011
48,893.9598389,2012
48,22349.01837,2013
48,5300.655196,2014
48,0,2015
48,12515.46796,2016
48,6257.722778,2017
48,72011.13997,2018
48,103829.3154,2019
49,43179.53564,2001
49,1787.753418,2002
49,21453.10388,2003
49,11620.40826,2004
49,8044.892761,2005
49,1787.752991,2006
49,23240.77594,2007
49,33967.3479,2008
49,48879.35971,2009
49,157536.1791,2010
49,51844.8653,2011
49,72404.04486,2012
49,22346.96637,2013
49,157915.1109,2014
49,90933.8351,2015
49,119096.2066,2016
49,58137.09706,2017
49,77767.40289,2018
49,49163.26489,2019
50,0,2001
50,1787.202332,2002
50,0,2003
50,3574.410706,2004
50,17994.79793,2005
50,8042.367554,2006
50,0,2007
50,0,2008
50,10723.38556,2009
50,893.6062622,2010
50,9829.655579,2011
50,5361.707642,2012
50,23233.8877,2013
50,18765.49048,2014
50,1787.223999,2015
50,6255.170166,2016
50,20552.70837,2017
50,10723.13159,2018
50,15191.09949,2019
51,115456.1673,2001
51,82471.10324,2002
51,242302.1507,2003
51,16985.00635,2004
51,34033.23414,2005
51,163326.047,2006
51,121576.963,2007
51,75368.62507,2008
51,225586.9446,2009
51,146614.5754,2010
51,30110.37948,2011
51,62197.81272,2012
51,68027.72712,2013
51,127995.8244,2014
51,92932.26049,2015
51,280973.4236,2016
51,451373.9832,2017
51,370165.4626,2018
51,372265.501,2019
52,65765.48598,2001
52,33938.77185,2002
52,42870.77856,2003
52,53587.43732,2004
52,49122.3761,2005
52,3572.445618,2006
52,16969.61426,2007
52,16969.16016,2008
52,156873.1648,2009
52,61063.97079,2010
52,209446.5395,2011
52,215006.456,2012
52,324722.9291,2013
52,264877.7504,2014
52,53588.4577,2015
52,162549.676,2016
52,367076.7215,2017
52,70556.46448,2018
52,184879.9439,2019
53,0,2001
53,8936.332642,2002
53,0,2003
53,0,2004
53,21969.34713,2005
53,6255.432922,2006
53,2680.907715,2007
53,8936.347839,2008
53,16979.00415,2009
53,0,2010
53,4576.758065,2011
53,5361.783813,2012
53,8936.322937,2013
53,16386.83659,2014
53,4468.18103,2015
53,30681.44062,2016
53,12700.11851,2017
53,445.0661913,2018
53,11617.23303,2019
54,2681.18988,2001
54,4468.917358,2002
54,9291.770895,2003
54,31280.77722,2004
54,991.8909091,2005
54,9830.916443,2006
54,9831.696411,2007
54,0,2008
54,9579.247788,2009
54,893.7566528,2010
54,8937.820496,2011
54,8043.958252,2012
54,49158.16022,2013
54,25919.15588,2014
54,9831.264709,2015
54,19368.52331,2016
54,134062.7393,2017
54,22344.49683,2018
54,0,2019
55,679623.4445,2001
55,329171.0999,2002
55,124887.0553,2003
55,788187.5363,2004
55,1285259.452,2005
55,151247.9165,2006
55,814166.149,2007
55,2158647.176,2008
55,303417.7486,2009
55,1910609.385,2010
55,298406.5708,2011
55,392511.4944,2012
55,2578953.265,2013
55,2406281.651,2014
55,1965151.259,2015
55,1050023.004,2016
55,1774730.292,2017
55,1866584.936,2018
55,1092573.885,2019
56,56292.09619,2001
56,8041.493164,2002
56,26806.04102,2003
56,82474.2921,2004
56,63439.7536,2005
56,8041.867249,2006
56,60760.57281,2007
56,92812.73718,2008
56,123308.6584,2009
56,111121.2025,2010
56,55648.23951,2011
56,73270.24786,2012
56,98289.03723,2013
56,161145.1026,2014
56,124201.6727,2015
56,229268.5826,2016
56,176189.546,2017
56,392486.8833,2018
56,236012.4993,2019
57,88486.20746,2001
57,145209.2425,2002
57,30389.23273,2003
57,18338.64928,2004
57,200323.0487,2005
57,2739926.295,2006
57,312831.3094,2007
57,12513.01733,2008
57,31283.16107,2009
57,379796.7281,2010
57,232389.1013,2011
57,1863482.97,2012
57,1111929.486,2013
57,932991.963,2014
57,429023.2646,2015
57,968569.3679,2016
57,530545.83,2017
57,633978.2327,2018
57,551468.707,2019
58,344862.2645,2001
58,76157.88026,2002
58,87793.98385,2003
58,310226.7769,2004
58,224198.7269,2005
58,480005.5508,2006
58,238571.083,2007
58,14238.43622,2008
58,32929.72742,2009
58,398839.306,2010
58,79203.37134,2011
58,417068.6327,2012
58,664458.6494,2013
58,1472648.766,2014
58,1815699.576,2015
58,958289.2171,2016
58,461244.7567,2017
58,1209241.564,2018
58,872831.0365,2019
59,0,2001
59,304.9857142,2002
59,0,2003
59,0,2004
59,7680.729725,2005
59,0,2006
59,1787.846985,2007
59,3379.38166,2008
59,0,2009
59,893.923645,2010
59,3575.696899,2011
59,4732.536745,2012
59,3035.834147,2013
59,25096.46146,2014
59,841.340648,2015
59,3775.513398,2016
59,350.5585923,2017
59,5773.696659,2018
59,9184.628829,2019
60,463404.5216,2001
60,394117.5245,2002
60,263547.3661,2003
60,151033.8721,2004
60,221635.2033,2005
60,196611.9254,2006
60,229678.0054,2007
60,29323.14534,2008
60,630960.1997,2009
60,275256.7354,2010
60,188396.5499,2011
60,337815.3262,2012
60,1296533.427,2013
60,460293.5662,2014
60,719780.5566,2015
60,493457.4221,2016
60,522073.0692,2017
60,1072563.116,2018
60,721024.0165,2019
61,25675.09753,2001
61,17668.30409,2002
61,2576.622246,2003
61,1787.865112,2004
61,6257.518066,2005
61,30418.22361,2006
61,109126.2409,2007
61,2681.793579,2008
61,55423.76801,2009
61,40896.50751,2010
61,12907.66375,2011
61,17324.72728,2012
61,28640.85531,2013
61,171396.5091,2014
61,79987.52075,2015
61,107362.91,2016
61,203486.8214,2017
61,161489.6316,2018
61,212555.9311,2019
62,6642.365116,2001
62,11399.14847,2002
62,10725.99689,2003
62,893.8387451,2004
62,8044.547852,2005
62,10726.08752,2006
62,9832.385864,2007
62,0,2008
62,4066.087206,2009
62,1787.668335,2010
62,19058.26579,2011
62,13407.38629,2012
62,34859.81006,2013
62,29401.68534,2014
62,39868.49652,2015
62,67279.6768,2016
62,62649.73353,2017
62,189683.0305,2018
62,155466.1584,2019
63,183505.717,2001
63,64357.35638,2002
63,66127.39606,2003
63,39329.33789,2004
63,47374.01306,2005
63,9832.35437,2006
63,52737.20941,2007
63,183782.8311,2008
63,158744.234,2009
63,654687.9774,2010
63,165422.0567,2011
63,25027.85254,2012
63,137393.5363,2013
63,247519.5999,2014
63,256528.0895,2015
63,623676.6848,2016
63,409394.0761,2017
63,611200.6513,2018
63,593534.157,2019
64,62206.58318,2001
64,64800.6623,2002
64,13408.8222,2003
64,250380.5155,2004
64,267234.2554,2005
64,256226.1524,2006
64,124462.0015,2007
64,155914.2344,2008
64,387222.0467,2009
64,1102013.931,2010
64,171360.3137,2011
64,298559.5022,2012
64,322484.6873,2013
64,700473.3256,2014
64,667761.2439,2015
64,1388471.186,2016
64,759117.3814,2017
64,958762.9027,2018
64,1709162.784,2019
65,209180.2132,2001
65,215438.0099,2002
65,13409.00922,2003
65,10727.23035,2004
65,126581.0706,2005
65,40227.10999,2006
65,224254.3487,2007
65,314419.3859,2008
65,192195.7763,2009
65,443717.6832,2010
65,557051.1646,2011
65,312820.3253,2012
65,377240.3044,2013
65,1826520.26,2014
65,689265.4329,2015
65,1520108.894,2016
65,1246852.826,2017
65,1055266.45,2018
65,1212857.264,2019
66,0,2001
66,1785.809753,2002
66,0,2003
66,0,2004
66,2678.512268,2005
66,0,2006
66,4464.266968,2007
66,892.9633789,2008
66,8928.805969,2009
66,2678.861633,2010
66,8928.300781,2011
66,728.3761795,2012
66,9821.246826,2013
66,40932.69327,2014
66,1785.554077,2015
66,3571.212463,2016
66,0,2017
66,0,2018
66,0,2019
67,2222.030726,2001
67,1787.43158,2002
67,0,2003
67,3574.802246,2004
67,893.6830444,2005
67,343.4756539,2006
67,3245.396877,2007
67,0,2008
67,5173.169884,2009
67,4468.519531,2010
67,893.7195435,2011
67,0,2012
67,14298.74274,2013
67,26905.66752,2014
67,4528.042611,2015
67,16983.35423,2016
67,16086.45618,2017
67,7317.569097,2018
67,3574.988403,2019
68,0,2001
68,0,2002
68,0,2003
68,0,2004
68,0,2005
68,39509.38589,2006
68,0,2007
68,0,2008
68,34647.80732,2009
68,23238.74371,2010
68,11619.36993,2011
68,139621.7963,2012
68,57483.51833,2013
68,20557.3645,2014
68,0,2015
68,8937.986816,2016
68,29814.31585,2017
68,2523.664601,2018
68,21191.78455,2019
69,1487711.712,2001
69,473682.9666,2002
69,653067.0926,2003
69,355635.4358,2004
69,1358996.177,2005
69,986728.0448,2006
69,945155.3688,2007
69,469723.5194,2008
69,3049349.549,2009
69,1661840.982,2010
69,1622996.63,2011
69,1121974.708,2012
69,2435657.057,2013
69,1656238.705,2014
69,1367652.547,2015
69,1511774.559,2016
69,1710583.363,2017
69,4215674.266,2018
69,3350334.663,2019
70,1787.926208,2001
70,7151.710205,2002
70,0,2003
70,0,2004
70,20561.16833,2005
70,21455.14154,2006
70,17879.27582,2007
70,1787.932983,2008
70,22349.09564,2009
70,31288.7254,2010
70,23243.07684,2011
70,27856.62736,2012
70,2681.893311,2013
70,54531.81482,2014
70,58107.63757,2015
70,89396.35596,2016
70,51849.84131,2017
70,202775.3124,2018
70,171486.7102,2019
71,275034.9468,2001
71,596791.5171,2002
71,412121.2711,2003
71,40228.75964,2004
71,239426.7878,2005
71,280076.4125,2006
71,66153.94299,2007
71,210525.2463,2008
71,961595.5578,2009
71,301061.9199,2010
71,409422.1631,2011
71,323186.8339,2012
71,758337.657,2013
71,1268221.199,2014
71,1118338.673,2015
71,1477207.392,2016
71,1880736.275,2017
71,2182873.931,2018
71,1886534.441,2019
72,0,2001
72,0,2002
72,0,2003
72,0,2004
72,0,2005
72,0,2006
72,0,2007
72,0,2008
72,893.9385986,2009
72,0,2010
72,0,2011
72,0,2012
72,0,2013
72,0,2014
72,0,2015
72,0,2016
72,0,2017
72,0,2018
72,0,2019
73,81103.58111,2001
73,93743.99162,2002
73,66129.07397,2003
73,893.6370239,2004
73,85519.18944,2005
73,7149.056335,2006
73,21447.17816,2007
73,16085.39435,2008
73,101074.9998,2009
73,32163.791,2010
73,37592.18396,2011
73,56235.86781,2012
73,77472.7752,2013
73,153908.574,2014
73,53639.1064,2015
73,141292.5118,2016
73,95594.35028,2017
73,85617.23649,2018
73,172993.9646,2019
74,893.7109375,2001
74,0,2002
74,893.7739258,2003
74,8937.369385,2004
74,1685.797403,2005
74,8937.281616,2006
74,0,2007
74,0,2008
74,248.8440456,2009
74,19662.3222,2010
74,9831.249207,2011
74,7150.172424,2012
74,5362.504395,2013
74,16882.95456,2014
74,27706.52777,2015
74,42293.93195,2016
74,7149.923157,2017
74,6256.124695,2018
74,16087.96643,2019
75,5574131.022,2001
75,606052.6977,2002
75,2317717.795,2003
75,3941728.538,2004
75,2139020.866,2005
75,1674045.656,2006
75,4760264.489,2007
75,2201866.9,2008
75,1.75E+07,2009
75,1272123.032,2010
75,4675839.811,2011
75,1553166.403,2012
75,4822158.696,2013
75,7104270.466,2014
75,1366959.085,2015
75,6254370.121,2016
75,3915144.725,2017
75,6489673.579,2018
75,4365798.55,2019
76,1923838.54,2001
76,83650.18567,2002
76,805468.4842,2003
76,1059748.655,2004
76,1452870.958,2005
76,4186447.721,2006
76,672030.7008,2007
76,180646.1663,2008
76,1402703.818,2009
76,2961146.931,2010
76,127162.3907,2011
76,1226266.187,2012
76,1032043,2013
76,3066618.174,2014
76,2911596.372,2015
76,2866242.903,2016
76,5360627.369,2017
76,5730138.967,2018
76,4834923.448,2019
77,16138.7487,2001
77,47646.3813,2002
77,79761.75957,2003
77,79275.47269,2004
77,100977.1477,2005
77,31286.13293,2006
77,133189.9989,2007
77,17856.50295,2008
77,36537.47623,2009
77,89739.32842,2010
77,101810.6726,2011
77,8938.581909,2012
77,45542.03173,2013
77,121614.8593,2014
77,87558.33166,2015
77,391936.1776,2016
77,98809.3626,2017
77,131657.5378,2018
77,134718.1399,2019
78,0,2001
78,0,2002
78,0,2003
78,0,2004
78,0,2005
78,0,2006
78,0,2007
78,0,2008
78,0,2009
78,0,2010
78,0,2011
78,0,2012
78,0,2013
78,0,2014
78,0,2015
78,0,2016
78,0,2017
78,0,2018
78,0,2019
79,0,2001
79,0,2002
79,0,2003
79,0,2004
79,0,2005
79,0,2006
79,0,2007
79,0,2008
79,0,2009
79,0,2010
79,0,2011
79,0,2012
79,0,2013
79,0,2014
79,0,2015
79,0,2016
79,0,2017
79,0,2018
79,0,2019
